Question	Question Category	Continent	Urban / Rural	Education	D_INTERVIEW
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	156070594
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	586070648
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	410070706
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	400070152
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	398070007
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	344070683
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	156070529
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	422070259
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	792071520
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Primary or No Education	158070107
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	462070944
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	158070358
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	158070108
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	792070098
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Tertiary	360070343
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	702070697
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	422070814
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	608070063
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	360072950
Q1	Social Values, Norms, Stereotypes	Asia	Urban	Lower Secondary	458070415
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	360072762
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	104070684
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	417070149
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	360070072
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Upper to Post Secondary	360072109
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	360072005
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	50070660
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	368071010
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	50071115
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Primary or No Education	360072362
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	496071204
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	792070820
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	368071175
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	156071814
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Tertiary	360072834
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	360071935
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	364071928
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	360072023
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	360071819
Q1	Social Values, Norms, Stereotypes	Asia	Rural	Lower Secondary	368071009
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	703070387
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	300070344
Q1	Social Values, Norms, Stereotypes	Europe	Urban	Upper to Post Secondary	276070681
