QUESTION_ID	PARTICIPANT_ID	SCORE
Q1	156070594	4
Q1	586070648	4
Q1	410070706	4
Q1	400070152	4
Q1	398070007	4
Q1	344070683	4
Q1	156070529	4
Q1	422070259	4
Q1	792071520	4
Q1	158070107	4
Q1	462070944	3
Q1	158070358	4
Q1	158070108	4
Q1	792070098	4
Q1	360070343	4
Q1	702070697	4
Q1	422070814	4
Q1	608070063	4
Q1	360072950	3
Q1	458070415	4
Q1	360072762	4
Q1	104070684	4
Q1	417070149	4
Q1	360070072	8
Q1	360072109	8
Q1	360072005	4
Q1	50070660	4
Q1	368071010	4
Q1	50071115	4
Q1	360072362	4
Q1	496071204	3
Q1	792070820	4
Q1	368071175	4
Q1	156071814	4
Q1	360072834	4
Q1	360071935	4
Q1	364071928	3
Q1	360072023	3
Q1	360071819	3
Q1	368071009	4
Q1	703070387	4
Q1	300070344	4
Q1	276070681	4
Q1	642070615	4
Q1	643071326	4
Q1	528070146	4
Q1	20070536	4
Q1	300070007	4
Q1	703070255	4
Q1	300070314	3
Q1	528071879	4
Q1	528071583	4
Q1	528071289	4
Q1	528071466	4
Q1	909070272	4
Q1	643071096	4
Q1	826070080	4
Q1	528070067	4
Q1	826071321	4
Q1	703070855	4
Q1	203070238	4
Q1	643071088	4
Q1	703070427	4
Q1	643070115	4
Q1	51070657	4
Q1	642070779	4
Q1	703071091	4
Q1	196070168	4
Q1	300070753	4
Q1	300071071	4
Q1	826070951	4
Q1	826072405	4
Q1	528071813	4
Q1	196070652	4
Q1	300070874	4
Q1	196070429	4
Q1	826071121	4
Q1	703070894	4
Q1	642070088	4
Q1	804070731	4
Q1	68070314	4
Q1	170070471	4
Q1	604070672	4
Q1	604071126	4
Q1	862070546	4
Q1	76071347	4
Q1	68070981	4
Q1	862070472	4
Q1	76070417	4
Q1	68071935	4
Q1	170078462	4
Q1	32070028	4
Q1	68071817	4
Q1	170073538	4
Q1	170078920	4
Q1	32070430	4
Q1	68070399	4
Q1	152070494	4
Q1	170075035	4
Q1	170070054	4
Q1	152070923	4
Q1	218070541	4
Q1	170074579	4
Q1	218070048	4
Q1	218070214	4
Q1	76070188	3
Q1	604071100	4
Q1	604071101	4
Q1	604070426	4
Q1	218070602	3
Q1	218070839	4
Q1	68071684	4
Q1	68070641	4
Q1	76070256	4
Q1	68071692	4
Q1	604071105	3
