QUESTION_ID	PARTICIPANT_ID	SCORE
Q1	156070594	3
Q1	586070648	3
Q1	410070706	3
Q1	400070152	4
Q1	398070007	4
Q1	344070683	3
Q1	156070529	4
Q1	422070259	4
Q1	792071520	4
Q1	158070107	4
Q1	462070944	3
Q1	158070358	3
Q1	158070108	3
Q1	792070098	3
Q1	360070343	3
Q1	702070697	3
Q1	422070814	4
Q1	608070063	3
Q1	360072950	3
Q1	458070415	3
Q1	360072762	4
Q1	104070684	4
Q1	417070149	4
Q1	360070072	4
Q1	360072109	4
Q1	360072005	4
Q1	50070660	3
Q1	368071010	3
Q1	50071115	3
Q1	360072362	4
Q1	496071204	3
Q1	792070820	3
Q1	368071175	4
Q1	156071814	3
Q1	360072834	3
Q1	360071935	4
Q1	364071928	4
Q1	360072023	4
Q1	360071819	4
Q1	368071009	4
Q1	703070387	4
Q1	300070344	3
Q1	276070681	3
Q1	642070615	3
Q1	643071326	3
Q1	528070146	
Q1	20070536	4
Q1	300070007	4
Q1	703070255	4
Q1	300070314	4
Q1	528071879	4
Q1	528071583	3
Q1	528071289	3
Q1	528071466	3
Q1	909070272	3
Q1	643071096	3
Q1	826070080	3
Q1	528070067	4
Q1	826071321	3
Q1	703070855	4
Q1	203070238	4
Q1	643071088	3
Q1	703070427	4
Q1	643070115	4
Q1	51070657	4
Q1	642070779	4
Q1	703071091	4
Q1	196070168	4
Q1	300070753	4
Q1	300071071	4
Q1	826070951	4
Q1	826072405	4
Q1	528071813	4
Q1	196070652	3
Q1	300070874	3
Q1	196070429	4
Q1	826071121	4
Q1	703070894	4
Q1	642070088	4
Q1	804070731	4
Q1	68070314	3
Q1	170070471	4
Q1	604070672	3
Q1	604071126	3
Q1	862070546	3
Q1	76071347	3
Q1	68070981	4
Q1	862070472	3
Q1	76070417	4
Q1	68071935	4
Q1	170078462	3
Q1	32070028	3
Q1	68071817	3
Q1	170073538	3
Q1	170078920	3
Q1	32070430	3
Q1	68070399	3
Q1	152070494	3
Q1	170075035	3
Q1	170070054	3
Q1	152070923	4
Q1	218070541	4
Q1	170074579	4
Q1	218070048	4
Q1	218070214	4
Q1	76070188	3
Q1	604071100	4
Q1	604071101	4
Q1	604070426	4
Q1	218070602	4
Q1	218070839	3
Q1	68071684	4
Q1	68070641	4
Q1	76070256	3
Q1	68071692	4
Q1	604071105	4
Q1	68071744	4
Q1	604070891	4
Q1	218070529	4
Q1	604070835	4
Q1	434070894	3
Q1	434071049	3
Q1	404070329	4
Q1	404071070	3
Q1	788070482	3
Q1	566070467	3
Q1	434070636	3
Q1	818070511	4
Q1	818070258	4
Q1	788070954	4
Q1	434070491	3
Q1	716070619	3
Q1	434070280	3
Q1	434070539	3
Q1	404070015	3
Q1	818070183	3
Q1	504070329	3
Q1	716071183	4
Q1	788070378	3
Q1	434070172	4
Q1	788071119	4
Q1	434070705	3
Q1	566070091	4
Q1	788070416	4
Q1	818070603	4
Q1	788071187	4
Q1	818071042	4
Q1	818070237	4
Q1	231070458	3
Q1	231070731	3
Q1	434071072	3
Q1	788070975	4
Q1	434070079	3
Q1	404070964	3
Q1	404070746	3
Q1	716070587	3
Q1	434070229	3
Q1	716070968	3
Q1	716071213	3
Q1	566070687	4
Q1	630071118	4
Q1	124070696	3
Q1	484071250	4
Q1	124071478	4
Q1	124074829	4
Q1	558070334	2
Q1	484071177	3
Q1	484070301	3
Q1	558070151	2
Q1	484071011	3
Q1	840072850	3
Q1	484071076	3
Q1	124071008	3
Q1	320070283	3
Q1	124073018	3
Q1	630070493	4
Q1	630071078	4
Q1	558070611	4
Q1	558070257	4
Q1	558070117	4
Q1	124070910	4
Q1	124072164	4
Q1	124074636	4
Q1	484070400	4
Q1	558070304	2
Q1	484071234	4
Q1	320070572	3
Q1	320070563	3
Q1	558070830	3
Q1	484070817	4
Q1	320071184	3
Q1	558070906	3
Q1	484070522	4
Q1	124075236	4
Q1	124070985	4
Q1	558070780	4
Q1	558070937	4
Q1	124074421	4
Q1	558070895	4
Q1	124071381	4
Q1	554070452	4
Q1	36070791	4
Q1	554070454	3
Q1	36071305	3
Q1	36071068	3
Q1	554070861	3
Q1	36070815	3
Q1	36071455	3
Q1	554070133	3
Q1	36070923	3
Q1	554070853	3
Q1	36071114	3
Q1	36070421	3
Q1	36071084	3
Q1	36070148	3
Q1	554070913	4
Q1	554070992	4
Q1	554070205	4
Q1	554070895	4
Q1	554070506	4
Q1	36070626	4
Q1	36070300	4
Q1	36071598	4
Q1	36070868	4
Q1	554070165	4
Q1	36071788	4
Q1	36070621	4
Q1	36070522	4
Q1	36070870	4
Q1	36071165	4
Q2	608070097	4
Q2	702070734	3
Q2	392070125	3
Q2	364072376	3
Q2	496070317	3
Q2	158070268	2
Q2	446070647	3
Q2	586070200	3
Q2	446070864	3
Q2	156070578	3
Q2	156070183	3
Q2	398071120	3
Q2	702071955	3
Q2	608070039	3
Q2	496070910	3
Q2	608070818	3
Q2	400070178	3
Q2	400070272	3
Q2	392071062	3
Q2	608070084	3
Q2	764070189	3
Q2	704071024	3
Q2	156071929	3
Q2	458070060	4
Q2	360072762	4
Q2	586071893	2
Q2	586071301	2
Q2	50070609	3
Q2	764070920	3
Q2	360071743	4
Q2	792070710	4
Q2	496071608	3
Q2	360073171	4
Q2	586071517	3
Q2	704070283	3
Q2	156070830	3
Q2	417070406	3
Q2	156072830	3
Q2	360072853	4
Q2	704070643	3
Q2	276071027	3
Q2	804070259	3
Q2	276070835	3
Q2	643070796	3
Q2	643071493	3
Q2	300070160	3
Q2	826070674	3
Q2	20070536	3
Q2	300070188	3
Q2	300070930	3
Q2	300070037	3
Q2	642070845	3
Q2	276070875	3
Q2	276070072	3
Q2	20070366	3
Q2	203071018	3
Q2	909070040	3
Q2	826071321	3
Q2	196070875	3
Q2	909070033	3
Q2	51070493	3
Q2	804071120	3
Q2	688070557	4
Q2	642070870	3
Q2	826071950	3
Q2	203071144	3
Q2	300071078	3
Q2	300070753	3
Q2	643071007	3
Q2	300070665	3
Q2	909070260	3
Q2	804070321	3
Q2	51070836	3
Q2	826070869	3
Q2	804070443	3
Q2	203070948	3
Q2	703070414	3
Q2	826071121	3
Q2	196070706	3
Q2	826070421	3
Q2	32070782	3
Q2	68071202	3
Q2	862070830	3
Q2	68071611	3
Q2	68070565	3
Q2	76070165	3
Q2	170070112	3
Q2	68070068	3
Q2	32070456	3
Q2	76070693	2
Q2	76070070	3
Q2	862070743	3
Q2	170077383	3
Q2	68071526	3
Q2	170076589	3
Q2	862070448	3
Q2	76071238	3
Q2	76071021	3
Q2	152070494	2
Q2	76071836	3
Q2	218070818	3
Q2	218070728	3
Q2	604070792	3
Q2	32070936	3
Q2	68070954	3
Q2	218070815	3
Q2	68070803	2
Q2	152070860	3
Q2	170074454	3
Q2	218071176	3
Q2	76070252	3
Q2	68070025	3
Q2	604070889	3
Q2	862070540	3
Q2	76070764	3
Q2	76071787	3
Q2	604070594	3
Q2	76071779	3
Q2	32070930	3
Q2	604071105	3
Q2	716070476	3
Q2	404070859	3
Q2	434071155	3
Q2	434070596	3
Q2	716070233	3
Q2	818071061	3
Q2	788070242	2
Q2	818070221	3
Q2	788071083	3
Q2	504070463	3
Q2	434071120	3
Q2	504070379	3
Q2	434070438	3
Q2	434070862	3
Q2	504070250	3
Q2	404070723	3
Q2	404071226	3
Q2	404070775	3
Q2	716070126	3
Q2	404071230	3
Q2	716070374	3
Q2	231071012	3
Q2	504070006	3
Q2	566070119	3
Q2	504070331	4
Q2	788071187	2
Q2	404070991	4
Q2	231070595	3
Q2	231070195	3
Q2	818070575	3
Q2	434070101	3
Q2	818070806	4
Q2	231071104	4
Q2	716070844	3
Q2	434070079	3
Q2	716070755	3
Q2	231071060	3
Q2	566070429	3
Q2	716070503	3
Q2	818071085	3
Q2	630070410	3
Q2	124071461	3
Q2	840072401	3
Q2	840071392	4
Q2	840071929	3
Q2	558070137	3
Q2	484070309	3
Q2	484070715	3
Q2	484070446	3
Q2	484070427	3
Q2	320070697	3
Q2	124073119	3
Q2	124073563	3
Q2	124071434	3
Q2	484071204	3
Q2	558070128	3
Q2	630071171	3
Q2	840071155	3
Q2	558070389	3
